ticker,qty,timestamp,close,adj close,volume,div amt
MET,90.0,2020-06-25,35.8050,35.8050,131012025,0.0000
MET,90.0,2020-05-29,36.0100,36.0100,130323391,0.4600
MET,90.0,2020-04-30,36.0800,35.6044,152706389,0.0000
MET,90.0,2020-03-31,30.5700,30.1671,247866020,0.0000
MET,90.0,2020-02-28,42.7200,42.1569,129345574,0.4400
MET,90.0,2020-01-31,49.7100,48.6242,115040312,0.0000
MET,90.0,2019-12-31,50.9700,49.8567,109940778,0.0000
MET,90.0,2019-11-29,49.9100,48.8199,91040130,0.4400
MET,90.0,2019-10-31,46.7900,45.3487,101357703,0.0000
MET,90.0,2019-09-30,47.1600,45.7073,149757571,0.0000
MET,90.0,2019-08-30,44.3000,42.9354,159954468,0.4400
MET,90.0,2019-07-31,49.4200,47.4397,81478106,0.0000
MET,90.0,2019-06-28,49.6700,47.6797,83332759,0.0000
MET,90.0,2019-05-31,46.2100,44.3583,118580979,0.4400
MET,90.0,2019-04-30,46.1300,43.8758,93621277,0.0000
MET,90.0,2019-03-29,42.5700,40.4898,115814845,0.0000
MET,90.0,2019-02-28,45.1900,42.9818,130869468,0.4200
MET,90.0,2019-01-31,45.6700,43.0381,108763152,0.0000
MET,90.0,2018-12-31,41.0600,38.6937,166439295,0.0000
MET,90.0,2018-11-30,44.6300,42.0580,148565670,0.4200
MET,90.0,2018-10-31,41.1900,38.4540,160203641,0.0000
MET,90.0,2018-09-28,46.7200,43.6167,96047675,0.0000
MET,90.0,2018-08-31,45.8900,42.8418,120535228,0.4200
MET,90.0,2018-07-31,45.7400,42.3098,94435157,0.0000
MET,90.0,2018-06-29,43.6000,40.3303,141828244,0.0000
MET,90.0,2018-05-31,45.9900,42.5410,115440545,0.4200
MET,90.0,2018-04-30,47.6700,43.6981,106212249,0.0000
MET,90.0,2018-03-29,45.8900,42.0664,128892023,0.0000
MET,90.0,2018-02-28,46.1900,42.3414,162481094,0.4000
MET,90.0,2018-01-31,48.0700,43.6972,149933300,0.0000
MET,90.0,2017-12-29,50.5600,45.9607,96351717,0.0000
MET,90.0,2017-11-30,53.6800,48.7969,83978165,0.4000
MET,90.0,2017-10-31,53.5800,48.3520,79444891,0.0000
MET,90.0,2017-09-29,51.9500,46.8810,114261637,0.0000
MET,90.0,2017-08-31,46.8300,42.2606,141932285,6.2700
MET,90.0,2017-07-31,55.0000,39.1704,81800052,0.0000
MET,90.0,2017-06-30,54.9400,39.1276,117956989,0.0000
MET,90.0,2017-05-31,50.5900,36.0296,113178818,0.4000
MET,90.0,2017-04-28,51.8100,36.6203,110851464,0.0000
MET,90.0,2017-03-31,52.8200,37.3342,133584195,0.0000
MET,90.0,2017-02-28,52.4400,37.0656,133198883,0.4000
MET,90.0,2017-01-31,54.4100,38.1614,110679791,0.0000
MET,90.0,2016-12-30,53.8900,37.7967,118620727,0.0000
MET,90.0,2016-11-30,55.0100,38.5822,166297493,0.4000
MET,90.0,2016-10-31,46.9600,32.6586,140078477,0.0000
MET,90.0,2016-09-30,44.4300,30.8991,142692121,0.0000
MET,90.0,2016-08-31,43.4000,30.1828,181670756,0.4000
MET,90.0,2016-07-29,42.7400,29.4261,156542644,0.0000
MET,90.0,2016-06-30,39.8300,27.4226,179275450,0.0000
MET,90.0,2016-05-31,45.5500,31.3607,121406889,0.4000
MET,90.0,2016-04-29,45.1000,30.7635,119981976,0.0000
MET,90.0,2016-03-31,43.9400,29.9722,147553180,0.0000
MET,90.0,2016-02-29,39.5600,26.9846,182148962,0.3750
MET,90.0,2016-01-29,44.6500,30.1867,186519684,0.0000
MET,90.0,2015-12-31,48.2100,32.5935,140873268,0.0000
MET,90.0,2015-11-30,51.0900,34.5406,117565859,0.3750
MET,90.0,2015-10-30,50.3800,33.8095,117493246,0.0000
MET,90.0,2015-09-30,47.1500,31.6419,143797532,0.0000
MET,90.0,2015-08-31,50.1000,33.6216,144471811,0.3750
MET,90.0,2015-07-31,55.7400,37.1555,122651671,0.0000
MET,90.0,2015-06-30,55.9900,37.3222,146634486,0.0000
MET,90.0,2015-05-29,52.2600,34.8358,117540331,0.3750
MET,90.0,2015-04-30,51.2900,33.9447,118602345,0.0000
MET,90.0,2015-03-31,50.5500,33.4550,141444579,0.0000
MET,90.0,2015-02-27,50.8300,33.6403,141681519,0.3500
MET,90.0,2015-01-30,46.5000,30.5553,189633656,0.0000
MET,90.0,2014-12-31,54.0900,35.5428,135972819,0.0000
MET,90.0,2014-11-28,55.6100,36.5416,93514724,0.3500
MET,90.0,2014-10-31,54.2400,35.4136,178166336,0.0000
MET,90.0,2014-09-30,53.7200,35.0741,103060690,0.0000
MET,90.0,2014-08-29,54.7400,35.7401,108069600,0.3500
MET,90.0,2014-07-31,52.6000,34.1103,105194979,0.0000
MET,90.0,2014-06-30,55.5600,36.0298,131650800,0.0000
MET,90.0,2014-05-30,50.9300,33.0273,127805100,0.3500
MET,90.0,2014-04-30,52.3500,33.7127,134710800,0.0000
MET,90.0,2014-03-31,52.8000,34.0024,125837700,0.0000
MET,90.0,2014-02-28,50.6700,32.6308,122689400,0.2750
MET,90.0,2014-01-31,49.0500,31.4067,112347900,0.0000
MET,90.0,2013-12-31,53.9200,34.5250,117372500,0.0000
MET,90.0,2013-11-29,52.1900,33.4173,124291900,0.2750
MET,90.0,2013-10-31,47.3100,30.1199,123277900,0.0000
MET,90.0,2013-09-30,46.9500,29.8907,141301300,0.0000
MET,90.0,2013-08-30,46.1900,29.4069,132606000,0.2750
MET,90.0,2013-07-31,48.4200,30.6563,137730000,0.0000
MET,90.0,2013-06-28,45.7600,28.9721,169170500,0.0000
MET,90.0,2013-05-31,44.2100,27.9908,174917000,0.2750
MET,90.0,2013-04-30,38.9900,24.5205,174053200,0.0000
MET,90.0,2013-03-28,38.0200,23.9105,197817700,0.0000
MET,90.0,2013-02-28,35.4400,22.2879,176157200,0.1850
MET,90.0,2013-01-31,37.3400,23.3667,181224400,0.0000
MET,90.0,2012-12-31,32.9400,20.6133,233580700,0.0000
MET,90.0,2012-11-30,33.1900,20.7697,212510900,0.7400
MET,90.0,2012-10-31,35.4900,21.7159,228094900,0.0000
MET,90.0,2012-09-28,34.4600,21.0857,196406800,0.0000
MET,90.0,2012-08-31,34.1300,20.8837,186706800,0.0000
MET,90.0,2012-07-31,30.7700,18.8278,143822500,0.0000
MET,90.0,2012-06-29,30.8500,18.8768,208798400,0.0000
MET,90.0,2012-05-31,29.2100,17.8733,238377900,0.0000
MET,90.0,2012-04-30,36.0300,22.0463,149081400,0.0000
