ticker,qty,timestamp,close,adj close,volume,div amt
STZ,100.0,2020-06-25,172.2750,172.2750,24379894,0.0000
STZ,100.0,2020-05-29,172.7000,172.7000,23707865,0.7500
STZ,100.0,2020-04-30,164.6900,163.9391,42347626,0.0000
STZ,100.0,2020-03-31,143.3600,142.7064,59837461,0.0000
STZ,100.0,2020-02-28,172.3800,171.5941,23197752,0.7500
STZ,100.0,2020-01-31,188.3000,186.7415,31443360,0.0000
STZ,100.0,2019-12-31,189.7500,188.1795,20600682,0.0000
STZ,100.0,2019-11-29,186.0600,184.5200,25064527,0.7500
STZ,100.0,2019-10-31,190.3300,188.0136,27174818,0.0000
STZ,100.0,2019-09-30,207.2800,204.7573,19794083,0.0000
STZ,100.0,2019-08-30,204.1700,201.6851,22186541,0.7500
STZ,100.0,2019-07-31,196.8200,193.6722,23248898,0.0000
STZ,100.0,2019-06-28,196.9400,193.7903,40589921,0.0000
STZ,100.0,2019-05-31,176.4500,173.6280,35092618,0.7500
STZ,100.0,2019-04-30,211.6700,207.5138,48537531,0.0000
STZ,100.0,2019-03-29,175.3300,171.8873,34396014,0.0000
STZ,100.0,2019-02-28,169.1600,165.8385,47358344,0.7400
STZ,100.0,2019-01-31,173.6600,169.5240,74841878,0.0000
STZ,100.0,2018-12-31,160.8200,156.9898,42063672,0.0000
STZ,100.0,2018-11-30,195.7600,191.0977,40907045,0.7400
STZ,100.0,2018-10-31,199.2300,193.7692,59633555,0.0000
STZ,100.0,2018-09-28,215.6200,209.7099,34638629,0.0000
STZ,100.0,2018-08-31,208.2000,202.4933,61210234,0.7400
STZ,100.0,2018-07-31,210.2300,203.7656,35278727,0.0000
STZ,100.0,2018-06-29,218.8700,212.1399,37288298,0.0000
STZ,100.0,2018-05-31,223.0800,216.2205,31929425,0.7400
STZ,100.0,2018-04-30,233.1300,225.2107,29147906,0.0000
STZ,100.0,2018-03-29,227.9200,220.1776,31446674,0.0000
STZ,100.0,2018-02-28,215.4800,208.1602,33670129,0.5200
STZ,100.0,2018-01-31,219.4700,211.4878,53879614,0.0000
STZ,100.0,2017-12-29,228.5700,220.2568,26818534,0.0000
STZ,100.0,2017-11-30,217.5900,209.6762,21499487,0.5200
STZ,100.0,2017-10-31,219.0900,210.6141,32930079,0.0000
STZ,100.0,2017-09-29,199.4500,191.7339,21188777,0.0000
STZ,100.0,2017-08-31,200.1000,192.3588,21917227,0.5200
STZ,100.0,2017-07-31,193.3500,185.3755,22808765,0.0000
STZ,100.0,2017-06-30,193.7300,185.7398,31836918,0.0000
STZ,100.0,2017-05-31,182.7500,175.2127,28921516,0.5200
STZ,100.0,2017-04-28,172.5400,164.9460,23721581,0.0000
STZ,100.0,2017-03-31,162.0700,154.9368,29387437,0.0000
STZ,100.0,2017-02-28,158.8100,151.8203,36505075,0.4000
STZ,100.0,2017-01-31,149.7600,142.7929,54640435,0.0000
STZ,100.0,2016-12-30,153.3100,146.1777,35715401,0.0000
STZ,100.0,2016-11-30,151.1400,144.1087,49082382,0.4000
STZ,100.0,2016-10-31,167.1200,158.9468,24223292,0.0000
STZ,100.0,2016-09-30,166.4900,158.3477,22023944,0.0000
STZ,100.0,2016-08-31,164.0500,156.0270,17759544,0.4000
STZ,100.0,2016-07-29,164.6300,156.1945,22112867,0.0000
STZ,100.0,2016-06-30,165.4000,156.9250,40442978,0.0000
STZ,100.0,2016-05-31,153.1500,145.3027,29564130,0.4000
STZ,100.0,2016-04-29,156.0600,147.6934,31150160,0.0000
STZ,100.0,2016-03-31,151.0900,142.9899,32520572,0.0000
STZ,100.0,2016-02-29,141.4300,133.8478,38348832,0.3100
STZ,100.0,2016-01-29,152.4800,143.9818,37346975,0.0000
STZ,100.0,2015-12-31,142.4400,134.5014,23999097,0.0000
STZ,100.0,2015-11-30,140.2600,132.4429,22513014,0.3100
STZ,100.0,2015-10-30,134.8000,126.9917,26942503,0.0000
STZ,100.0,2015-09-30,125.2100,117.9572,30669220,0.0000
STZ,100.0,2015-08-31,128.0000,120.5856,30967852,0.3100
STZ,100.0,2015-07-31,120.0200,112.7848,21126068,0.0000
STZ,100.0,2015-06-30,116.0200,109.0260,22439222,0.0000
STZ,100.0,2015-05-29,117.8900,110.7832,17331778,0.3100
STZ,100.0,2015-04-30,115.9400,108.6581,21451523,0.0000
STZ,100.0,2015-03-31,116.2100,108.9111,21641924,0.0000
STZ,100.0,2015-02-27,114.7200,107.5147,16935245,0.0000
STZ,100.0,2015-01-30,110.4500,103.5129,34472841,0.0000
STZ,100.0,2014-12-31,98.1700,92.0042,21970093,0.0000
STZ,100.0,2014-11-28,96.4000,90.3454,16445686,0.0000
STZ,100.0,2014-10-31,91.5400,85.7906,39528980,0.0000
STZ,100.0,2014-09-30,87.1600,81.6857,19799785,0.0000
STZ,100.0,2014-08-29,87.0900,81.6201,13642589,0.0000
STZ,100.0,2014-07-31,83.2600,78.0306,30993400,0.0000
STZ,100.0,2014-06-30,88.1300,82.5948,25223000,0.0000
STZ,100.0,2014-05-30,84.1300,78.8460,21806100,0.0000
STZ,100.0,2014-04-30,79.8400,74.8254,37568800,0.0000
STZ,100.0,2014-03-31,84.9700,79.6332,26725300,0.0000
STZ,100.0,2014-02-28,81.0300,75.9407,23343200,0.0000
STZ,100.0,2014-01-31,76.6700,71.8545,43498200,0.0000
STZ,100.0,2013-12-31,70.3800,65.9596,23207800,0.0000
STZ,100.0,2013-11-29,70.4100,65.9877,24226800,0.0000
STZ,100.0,2013-10-31,65.3000,61.1987,42218200,0.0000
STZ,100.0,2013-09-30,57.4000,53.7948,34426400,0.0000
STZ,100.0,2013-08-30,54.2500,50.8427,26092800,0.0000
STZ,100.0,2013-07-31,52.0900,48.8184,45916800,0.0000
