timestamp,open,high,low,close,adj close,volume,div amt
2020-06-24,149.3400,170.4100,147.4000,150.4900,150.4900,27434132,0.0000
2020-05-29,142.9000,156.3400,117.8500,152.1200,152.1200,38913319,0.0000
2020-04-30,132.1800,151.6500,127.5450,145.0600,145.0600,42066128,0.0000
2020-03-31,157.9200,167.8700,106.1400,138.1600,138.1600,60585339,0.7600
2020-02-28,159.4400,181.9900,152.6600,156.4800,155.6424,36917830,0.0000
2020-01-31,174.2400,178.4000,157.3280,158.5800,157.7312,32322707,0.0000
2019-12-31,165.3000,176.5800,162.0400,173.2600,172.3326,30842519,0.7600
2019-11-29,175.9000,180.4800,167.0500,168.0500,166.4243,40638613,0.0000
2019-10-31,169.6000,176.3908,160.6100,174.1400,172.4554,44445205,0.0000
2019-09-30,153.7600,169.0300,150.0600,168.6800,167.0482,37935524,0.7600
2019-08-30,165.8900,167.1600,141.2450,154.9100,152.7133,50197938,0.0000
2019-07-31,168.3000,171.2200,159.3700,165.6500,163.3010,36625480,0.0000
2019-06-28,139.5400,168.3800,139.5400,165.7100,163.3602,41581619,0.7600
2019-05-31,165.6100,167.3200,132.6800,140.1700,137.5481,58778175,0.0000
2019-04-30,161.6400,169.9900,155.7600,165.6300,162.5318,30495773,0.0000
2019-03-29,164.8500,167.0200,155.2600,159.8400,156.8502,36028013,0.7600
2019-02-28,164.0800,167.8200,156.0600,164.0400,160.2014,45969952,0.0000
2019-01-31,146.2300,166.1900,142.7000,164.0000,160.1623,47543762,0.0000
2018-12-31,161.9900,164.3700,136.1300,149.1700,145.6794,50457039,0.7600
2018-11-30,136.2100,155.3200,135.6000,154.8800,150.4686,54214405,0.0000
2018-10-31,151.7200,159.3000,128.3200,135.4400,131.5823,61226919,0.0000
2018-09-28,143.3700,156.7700,140.9900,150.3300,146.0482,36432703,0.6900
2018-08-31,143.6000,148.5000,132.3200,143.8000,139.0696,54189166,0.0000
2018-07-31,138.0600,146.2900,134.3700,144.7900,140.0271,61509788,0.0000
2018-06-29,150.7000,160.3100,137.3200,139.8000,135.2012,54200106,0.6900
2018-05-31,134.7600,161.3907,131.2600,149.5100,143.8797,67157840,0.0000
2018-04-30,154.3800,154.8800,133.7000,135.3300,130.2337,59046803,0.0000
2018-03-29,160.7500,168.0500,147.6000,155.3200,149.4709,59589651,0.6000
2018-02-28,165.9900,175.2600,148.6000,160.8700,154.2011,53531731,0.0000
