ticker,qty,timestamp,close,adj close,volume,div amt
NVT,60.0,2020-06-25,18.1900,18.1900,15910496,0.0000
NVT,60.0,2020-05-29,18.3300,18.3300,17003281,0.0000
NVT,60.0,2020-04-30,18.6500,18.6500,24416782,0.1750
NVT,60.0,2020-03-31,16.8700,16.7005,32142150,0.0000
NVT,60.0,2020-02-28,24.0100,23.7687,24183236,0.0000
NVT,60.0,2020-01-31,24.9000,24.6498,24504436,0.1750
NVT,60.0,2019-12-31,25.5800,25.1528,21931292,0.0000
NVT,60.0,2019-11-29,24.7100,24.2973,24437490,0.0000
NVT,60.0,2019-10-31,23.0600,22.6749,37342851,0.1750
NVT,60.0,2019-09-30,22.0400,21.4931,31707419,0.0000
NVT,60.0,2019-08-30,20.2600,19.7572,27527670,0.0000
NVT,60.0,2019-07-31,24.7900,24.1748,23317172,0.1750
NVT,60.0,2019-06-28,24.7900,24.0013,21572043,0.0000
NVT,60.0,2019-05-31,23.0600,22.3264,30225311,0.0000
NVT,60.0,2019-04-30,27.9500,27.0608,28001251,0.1750
NVT,60.0,2019-03-29,26.9800,25.9596,21300921,0.0000
NVT,60.0,2019-02-28,27.4800,26.4407,19816468,0.0000
NVT,60.0,2019-01-31,25.0200,24.0737,18278371,0.1750
NVT,60.0,2018-12-31,22.4600,21.4558,14646001,0.0000
NVT,60.0,2018-11-30,25.0200,23.9014,15496738,0.0000
NVT,60.0,2018-10-31,24.4200,23.3282,29486625,0.1750
NVT,60.0,2018-09-28,27.1600,25.7635,21146335,0.0000
NVT,60.0,2018-08-31,28.0900,26.6457,15123104,0.1750
NVT,60.0,2018-07-31,27.4000,25.8253,30556644,0.0000
NVT,60.0,2018-06-29,25.1000,23.6575,28230500,0.0000
